# Probability of Window [ -0.00, 0.01 ]
# Value       Probability
2.0275        0.0669  
2.0812        0.0701  
2.1349        0.0686  
2.1887        0.0685  
2.2424        0.0659  
2.2961        0.0593  
2.3499        0.0536  
2.4036        0.0471  
2.4573        0.0383  
2.5110        0.0315  
2.5648        0.0239  
2.6185        0.0174  
2.6722        0.0137  
2.7260        0.0089  
2.7797        0.0060  
2.8334        0.0038  
2.8872        0.0023  
2.9409        0.0016  
2.9946        0.0009  
3.0483        0.0004  
3.1021        0.0002  
3.1558        0.0002  
3.2095        0.0000  
#----------------------------------------
# Probability of Window [ 0.24, 0.25 ]
# Value       Probability
0.7352        0.0000  
0.7893        0.0000  
0.8435        0.0000  
0.8976        0.0000  
0.9518        0.0001  
1.0059        0.0001  
1.0600        0.0004  
1.1142        0.0005  
1.1683        0.0009  
1.2225        0.0013  
1.2766        0.0022  
1.3308        0.0029  
1.3849        0.0041  
1.4391        0.0061  
1.4932        0.0096  
1.5474        0.0125  
1.6015        0.0166  
1.6557        0.0222  
1.7098        0.0284  
1.7639        0.0354  
1.8181        0.0433  
1.8722        0.0499  
1.9264        0.0567  
1.9805        0.0634  
2.0347        0.0678  
2.0888        0.0727  
2.1430        0.0718  
2.1971        0.0700  
2.2513        0.0665  
2.3054        0.0613  
2.3596        0.0528  
2.4137        0.0453  
2.4678        0.0366  
2.5220        0.0287  
2.5761        0.0221  
2.6303        0.0159  
2.6844        0.0116  
2.7386        0.0079  
2.7927        0.0049  
2.8469        0.0031  
2.9010        0.0016  
2.9552        0.0013  
3.0093        0.0006  
3.0635        0.0003  
3.1176        0.0002  
3.1717        0.0001  
3.2259        0.0000  
3.2800        0.0000  
3.3342        0.0000  
3.3883        0.0000  
#----------------------------------------
# Probability of Window [ 0.25, 0.26 ]
# Value       Probability
0.8544        0.0001  
0.9041        0.0000  
0.9538        0.0001  
1.0034        0.0001  
1.0531        0.0004  
1.1028        0.0005  
1.1524        0.0007  
1.2021        0.0012  
1.2518        0.0016  
1.3014        0.0020  
1.3511        0.0032  
1.4008        0.0046  
1.4505        0.0067  
1.5001        0.0087  
1.5498        0.0125  
1.5995        0.0159  
1.6491        0.0202  
1.6988        0.0251  
1.7485        0.0322  
1.7981        0.0387  
1.8478        0.0429  
1.8975        0.0490  
1.9471        0.0564  
1.9968        0.0601  
2.0465        0.0643  
2.0961        0.0659  
2.1458        0.0655  
2.1955        0.0632  
2.2451        0.0611  
2.2948        0.0561  
2.3445        0.0483  
2.3941        0.0435  
2.4438        0.0362  
2.4935        0.0299  
2.5431        0.0227  
2.5928        0.0181  
2.6425        0.0140  
2.6922        0.0096  
2.7418        0.0068  
2.7915        0.0043  
2.8412        0.0032  
2.8908        0.0019  
2.9405        0.0010  
2.9902        0.0004  
3.0398        0.0004  
3.0895        0.0003  
3.1392        0.0002  
3.1888        0.0001  
3.2385        0.0000  
3.2882        0.0000  
#----------------------------------------
# Probability of Window [ 0.26, 0.27 ]
# Value       Probability
0.6512        0.0000  
0.7054        0.0000  
0.7597        0.0001  
0.8139        0.0000  
0.8681        0.0000  
0.9224        0.0001  
0.9766        0.0002  
1.0308        0.0001  
1.0850        0.0004  
1.1393        0.0007  
1.1935        0.0014  
1.2477        0.0020  
1.3020        0.0027  
1.3562        0.0051  
1.4104        0.0065  
1.4646        0.0095  
1.5189        0.0138  
1.5731        0.0164  
1.6273        0.0239  
1.6815        0.0301  
1.7358        0.0374  
1.7900        0.0447  
1.8442        0.0530  
1.8985        0.0590  
1.9527        0.0649  
2.0069        0.0692  
2.0611        0.0727  
2.1154        0.0713  
2.1696        0.0708  
2.2238        0.0643  
2.2781        0.0586  
2.3323        0.0513  
2.3865        0.0433  
2.4407        0.0339  
2.4950        0.0269  
2.5492        0.0207  
2.6034        0.0151  
2.6577        0.0108  
2.7119        0.0069  
2.7661        0.0049  
2.8203        0.0033  
2.8746        0.0016  
2.9288        0.0012  
2.9830        0.0005  
3.0372        0.0002  
3.0915        0.0001  
3.1457        0.0001  
3.1999        0.0000  
3.2542        0.0000  
3.3084        0.0000  
#----------------------------------------
# Probability of Window [ 0.27, 0.28 ]
# Value       Probability
0.6784        0.0000  
0.7313        0.0000  
0.7842        0.0000  
0.8371        0.0000  
0.8899        0.0001  
0.9428        0.0001  
0.9957        0.0002  
1.0486        0.0002  
1.1014        0.0006  
1.1543        0.0011  
1.2072        0.0015  
1.2601        0.0021  
1.3129        0.0036  
1.3658        0.0051  
1.4187        0.0070  
1.4715        0.0104  
1.5244        0.0137  
1.5773        0.0186  
1.6302        0.0242  
1.6830        0.0299  
1.7359        0.0375  
1.7888        0.0457  
1.8417        0.0535  
1.8945        0.0591  
1.9474        0.0662  
2.0003        0.0700  
2.0532        0.0716  
2.1060        0.0710  
2.1589        0.0691  
2.2118        0.0630  
2.2647        0.0580  
2.3175        0.0491  
2.3704        0.0425  
2.4233        0.0350  
2.4762        0.0271  
2.5290        0.0197  
2.5819        0.0149  
2.6348        0.0103  
2.6876        0.0066  
2.7405        0.0048  
2.7934        0.0028  
2.8463        0.0017  
2.8991        0.0012  
2.9520        0.0005  
3.0049        0.0003  
3.0578        0.0002  
3.1106        0.0001  
3.1635        0.0000  
3.2164        0.0000  
3.2693        0.0000  
#----------------------------------------
# Probability of Window [ 0.28, 0.29 ]
# Value       Probability
0.5968        0.0000  
0.6505        0.0000  
0.7043        0.0000  
0.7580        0.0000  
0.8118        0.0000  
0.8655        0.0000  
0.9193        0.0001  
0.9730        0.0002  
1.0268        0.0003  
1.0805        0.0006  
1.1343        0.0010  
1.1880        0.0015  
1.2418        0.0027  
1.2956        0.0034  
1.3493        0.0049  
1.4031        0.0072  
1.4568        0.0115  
1.5106        0.0153  
1.5643        0.0200  
1.6181        0.0263  
1.6718        0.0338  
1.7256        0.0408  
1.7793        0.0481  
1.8331        0.0557  
1.8868        0.0609  
1.9406        0.0687  
1.9943        0.0715  
2.0481        0.0728  
2.1018        0.0722  
2.1556        0.0671  
2.2093        0.0601  
2.2631        0.0543  
2.3168        0.0463  
2.3706        0.0395  
2.4243        0.0308  
2.4781        0.0244  
2.5318        0.0176  
2.5856        0.0137  
2.6394        0.0084  
2.6931        0.0066  
2.7469        0.0044  
2.8006        0.0024  
2.8544        0.0020  
2.9081        0.0012  
2.9619        0.0008  
3.0156        0.0002  
3.0694        0.0003  
3.1231        0.0001  
3.1769        0.0001  
3.2306        0.0000  
#----------------------------------------
# Probability of Window [ 0.29, 0.30 ]
# Value       Probability
0.8527        0.0002  
0.8999        0.0001  
0.9471        0.0001  
0.9944        0.0003  
1.0416        0.0004  
1.0888        0.0008  
1.1360        0.0010  
1.1832        0.0017  
1.2305        0.0024  
1.2777        0.0032  
1.3249        0.0047  
1.3721        0.0061  
1.4194        0.0083  
1.4666        0.0126  
1.5138        0.0145  
1.5610        0.0193  
1.6082        0.0240  
1.6555        0.0303  
1.7027        0.0328  
1.7499        0.0412  
1.7971        0.0465  
1.8443        0.0512  
1.8916        0.0577  
1.9388        0.0584  
1.9860        0.0618  
2.0332        0.0639  
2.0804        0.0604  
2.1277        0.0583  
2.1749        0.0536  
2.2221        0.0512  
2.2693        0.0458  
2.3165        0.0411  
2.3638        0.0322  
2.4110        0.0267  
2.4582        0.0216  
2.5054        0.0178  
2.5526        0.0140  
2.5998        0.0104  
2.6471        0.0070  
2.6943        0.0055  
2.7415        0.0035  
2.7887        0.0028  
2.8359        0.0018  
2.8832        0.0011  
2.9304        0.0007  
2.9776        0.0004  
3.0248        0.0004  
3.0721        0.0001  
3.1193        0.0001  
3.1665        0.0000  
#----------------------------------------
# Probability of Window [ 0.30, 0.31 ]
# Value       Probability
0.5855        0.0000  
0.6361        0.0001  
0.6867        0.0000  
0.7373        0.0000  
0.7879        0.0001  
0.8385        0.0001  
0.8891        0.0001  
0.9397        0.0003  
0.9903        0.0004  
1.0409        0.0007  
1.0915        0.0012  
1.1421        0.0022  
1.1927        0.0030  
1.2433        0.0041  
1.2939        0.0058  
1.3445        0.0079  
1.3951        0.0108  
1.4457        0.0139  
1.4963        0.0196  
1.5469        0.0247  
1.5975        0.0305  
1.6481        0.0368  
1.6987        0.0424  
1.7493        0.0492  
1.7999        0.0558  
1.8504        0.0608  
1.9010        0.0662  
1.9516        0.0656  
2.0022        0.0693  
2.0528        0.0660  
2.1034        0.0609  
2.1540        0.0560  
2.2046        0.0503  
2.2552        0.0435  
2.3058        0.0380  
2.3564        0.0309  
2.4070        0.0237  
2.4576        0.0181  
2.5082        0.0130  
2.5588        0.0098  
2.6094        0.0064  
2.6600        0.0045  
2.7106        0.0028  
2.7612        0.0017  
2.8118        0.0013  
2.8624        0.0007  
2.9130        0.0005  
2.9636        0.0002  
3.0142        0.0000  
3.0648        0.0001  
#----------------------------------------
# Probability of Window [ 0.31, 0.32 ]
# Value       Probability
0.3347        0.0000  
0.3922        0.0000  
0.4496        0.0000  
0.5070        0.0000  
0.5645        0.0000  
0.6219        0.0000  
0.6793        0.0000  
0.7368        0.0000  
0.7942        0.0001  
0.8517        0.0003  
0.9091        0.0005  
0.9665        0.0007  
1.0240        0.0008  
1.0814        0.0017  
1.1389        0.0027  
1.1963        0.0041  
1.2537        0.0062  
1.3112        0.0098  
1.3686        0.0135  
1.4260        0.0183  
1.4835        0.0249  
1.5409        0.0329  
1.5984        0.0415  
1.6558        0.0486  
1.7132        0.0568  
1.7707        0.0630  
1.8281        0.0704  
1.8855        0.0730  
1.9430        0.0750  
2.0004        0.0732  
2.0579        0.0697  
2.1153        0.0643  
2.1727        0.0568  
2.2302        0.0482  
2.2876        0.0369  
2.3450        0.0316  
2.4025        0.0237  
2.4599        0.0165  
2.5174        0.0122  
2.5748        0.0087  
2.6322        0.0055  
2.6897        0.0034  
2.7471        0.0020  
2.8046        0.0011  
2.8620        0.0006  
2.9194        0.0003  
2.9769        0.0002  
3.0343        0.0001  
3.0917        0.0001  
3.1492        0.0000  
#----------------------------------------
# Probability of Window [ 0.32, 0.33 ]
# Value       Probability
0.5861        0.0001  
0.6392        0.0001  
0.6924        0.0001  
0.7455        0.0001  
0.7987        0.0003  
0.8518        0.0004  
0.9050        0.0004  
0.9581        0.0006  
1.0113        0.0014  
1.0644        0.0023  
1.1176        0.0032  
1.1707        0.0049  
1.2239        0.0063  
1.2771        0.0098  
1.3302        0.0132  
1.3834        0.0196  
1.4365        0.0244  
1.4897        0.0291  
1.5428        0.0363  
1.5960        0.0462  
1.6491        0.0516  
1.7023        0.0583  
1.7554        0.0637  
1.8086        0.0683  
1.8617        0.0712  
1.9149        0.0690  
1.9680        0.0673  
2.0212        0.0646  
2.0743        0.0571  
2.1275        0.0501  
2.1806        0.0430  
2.2338        0.0347  
2.2869        0.0278  
2.3401        0.0230  
2.3932        0.0166  
2.4464        0.0117  
2.4995        0.0082  
2.5527        0.0049  
2.6059        0.0040  
2.6590        0.0023  
2.7122        0.0016  
2.7653        0.0009  
2.8185        0.0005  
2.8716        0.0003  
2.9248        0.0002  
2.9779        0.0002  
3.0311        0.0000  
3.0842        0.0001  
3.1374        0.0000  
3.1905        0.0000  
#----------------------------------------
# Probability of Window [ 0.33, 0.34 ]
# Value       Probability
0.3653        0.0000  
0.4201        0.0000  
0.4750        0.0000  
0.5298        0.0000  
0.5846        0.0000  
0.6394        0.0000  
0.6942        0.0002  
0.7491        0.0002  
0.8039        0.0003  
0.8587        0.0003  
0.9135        0.0010  
0.9684        0.0016  
1.0232        0.0022  
1.0780        0.0035  
1.1328        0.0051  
1.1876        0.0082  
1.2425        0.0115  
1.2973        0.0155  
1.3521        0.0212  
1.4069        0.0280  
1.4618        0.0331  
1.5166        0.0413  
1.5714        0.0500  
1.6262        0.0566  
1.6810        0.0636  
1.7359        0.0680  
1.7907        0.0729  
1.8455        0.0726  
1.9003        0.0703  
1.9551        0.0668  
2.0100        0.0608  
2.0648        0.0524  
2.1196        0.0468  
2.1744        0.0393  
2.2293        0.0304  
2.2841        0.0237  
2.3389        0.0168  
2.3937        0.0122  
2.4485        0.0079  
2.5034        0.0060  
2.5582        0.0040  
2.6130        0.0022  
2.6678        0.0015  
2.7227        0.0010  
2.7775        0.0005  
2.8323        0.0003  
2.8871        0.0001  
2.9419        0.0000  
2.9968        0.0001  
3.0516        0.0001  
#----------------------------------------
# Probability of Window [ 0.34, 0.35 ]
# Value       Probability
0.3596        0.0000  
0.4148        0.0000  
0.4699        0.0000  
0.5251        0.0000  
0.5803        0.0001  
0.6354        0.0001  
0.6906        0.0002  
0.7458        0.0003  
0.8009        0.0008  
0.8561        0.0014  
0.9113        0.0021  
0.9664        0.0028  
1.0216        0.0044  
1.0768        0.0067  
1.1319        0.0099  
1.1871        0.0139  
1.2423        0.0181  
1.2974        0.0237  
1.3526        0.0320  
1.4078        0.0399  
1.4629        0.0481  
1.5181        0.0540  
1.5733        0.0627  
1.6284        0.0666  
1.6836        0.0720  
1.7388        0.0714  
1.7940        0.0702  
1.8491        0.0673  
1.9043        0.0614  
1.9595        0.0543  
2.0146        0.0492  
2.0698        0.0406  
2.1250        0.0333  
2.1801        0.0261  
2.2353        0.0198  
2.2905        0.0150  
2.3456        0.0105  
2.4008        0.0074  
2.4560        0.0053  
2.5111        0.0030  
2.5663        0.0019  
2.6215        0.0015  
2.6766        0.0009  
2.7318        0.0005  
2.7870        0.0003  
2.8421        0.0002  
2.8973        0.0001  
2.9525        0.0001  
3.0076        0.0000  
3.0628        0.0000  
#----------------------------------------
# Probability of Window [ 0.35, 0.36 ]
# Value       Probability
0.4633        0.0000  
0.5152        0.0001  
0.5671        0.0001  
0.6191        0.0002  
0.6710        0.0004  
0.7230        0.0004  
0.7749        0.0009  
0.8268        0.0014  
0.8788        0.0019  
0.9307        0.0034  
0.9826        0.0051  
1.0346        0.0077  
1.0865        0.0106  
1.1385        0.0142  
1.1904        0.0183  
1.2423        0.0243  
1.2943        0.0294  
1.3462        0.0369  
1.3982        0.0450  
1.4501        0.0517  
1.5020        0.0578  
1.5540        0.0611  
1.6059        0.0649  
1.6578        0.0672  
1.7098        0.0680  
1.7617        0.0664  
1.8137        0.0605  
1.8656        0.0550  
1.9175        0.0504  
1.9695        0.0417  
2.0214        0.0380  
2.0733        0.0310  
2.1253        0.0233  
2.1772        0.0178  
2.2292        0.0141  
2.2811        0.0107  
2.3330        0.0068  
2.3850        0.0049  
2.4369        0.0034  
2.4889        0.0016  
2.5408        0.0014  
2.5927        0.0009  
2.6447        0.0004  
2.6966        0.0002  
2.7485        0.0001  
2.8005        0.0000  
2.8524        0.0000  
2.9044        0.0000  
2.9563        0.0000  
3.0082        0.0000  
#----------------------------------------
# Probability of Window [ 0.36, 0.37 ]
# Value       Probability
0.2923        0.0000  
0.3414        0.0000  
0.3906        0.0000  
0.4397        0.0000  
0.4888        0.0002  
0.5380        0.0001  
0.5871        0.0003  
0.6363        0.0005  
0.6854        0.0009  
0.7346        0.0013  
0.7837        0.0016  
0.8329        0.0036  
0.8820        0.0041  
0.9311        0.0059  
0.9803        0.0082  
1.0294        0.0111  
1.0786        0.0145  
1.1277        0.0193  
1.1769        0.0244  
1.2260        0.0283  
1.2752        0.0360  
1.3243        0.0416  
1.3734        0.0483  
1.4226        0.0529  
1.4717        0.0588  
1.5209        0.0621  
1.5700        0.0646  
1.6192        0.0650  
1.6683        0.0626  
1.7174        0.0619  
1.7666        0.0570  
1.8157        0.0499  
1.8649        0.0450  
1.9140        0.0381  
1.9632        0.0332  
2.0123        0.0257  
2.0615        0.0195  
2.1106        0.0159  
2.1597        0.0109  
2.2089        0.0088  
2.2580        0.0059  
2.3072        0.0038  
2.3563        0.0029  
2.4055        0.0023  
2.4546        0.0013  
2.5038        0.0007  
2.5529        0.0004  
2.6020        0.0002  
2.6512        0.0002  
2.7003        0.0000  
#----------------------------------------
# Probability of Window [ 0.37, 0.38 ]
# Value       Probability
0.2391        0.0000  
0.2912        0.0000  
0.3434        0.0000  
0.3955        0.0001  
0.4477        0.0001  
0.4998        0.0002  
0.5520        0.0003  
0.6041        0.0007  
0.6563        0.0008  
0.7084        0.0014  
0.7606        0.0025  
0.8127        0.0038  
0.8649        0.0052  
0.9170        0.0085  
0.9692        0.0109  
1.0213        0.0140  
1.0735        0.0212  
1.1256        0.0263  
1.1778        0.0320  
1.2299        0.0404  
1.2821        0.0469  
1.3342        0.0549  
1.3864        0.0620  
1.4385        0.0662  
1.4907        0.0683  
1.5428        0.0711  
1.5950        0.0677  
1.6471        0.0637  
1.6993        0.0614  
1.7514        0.0561  
1.8036        0.0478  
1.8557        0.0390  
1.9079        0.0337  
1.9600        0.0270  
2.0122        0.0193  
2.0643        0.0154  
2.1165        0.0102  
2.1686        0.0071  
2.2208        0.0050  
2.2729        0.0034  
2.3251        0.0024  
2.3772        0.0011  
2.4294        0.0007  
2.4815        0.0005  
2.5337        0.0003  
2.5858        0.0001  
2.6380        0.0000  
2.6901        0.0000  
2.7423        0.0000  
2.7944        0.0000  
#----------------------------------------
# Probability of Window [ 0.38, 0.39 ]
# Value       Probability
0.1269        0.0000  
0.1789        0.0000  
0.2309        0.0000  
0.2830        0.0000  
0.3350        0.0000  
0.3870        0.0001  
0.4390        0.0003  
0.4910        0.0004  
0.5431        0.0006  
0.5951        0.0011  
0.6471        0.0018  
0.6991        0.0027  
0.7511        0.0048  
0.8032        0.0062  
0.8552        0.0086  
0.9072        0.0126  
0.9592        0.0177  
1.0112        0.0233  
1.0633        0.0304  
1.1153        0.0372  
1.1673        0.0450  
1.2193        0.0526  
1.2713        0.0595  
1.3234        0.0650  
1.3754        0.0664  
1.4274        0.0694  
1.4794        0.0698  
1.5314        0.0664  
1.5835        0.0636  
1.6355        0.0565  
1.6875        0.0498  
1.7395        0.0442  
1.7915        0.0363  
1.8436        0.0280  
1.8956        0.0219  
1.9476        0.0161  
1.9996        0.0125  
2.0516        0.0093  
2.1037        0.0066  
2.1557        0.0046  
2.2077        0.0033  
2.2597        0.0021  
2.3117        0.0011  
2.3638        0.0009  
2.4158        0.0006  
2.4678        0.0002  
2.5198        0.0001  
2.5718        0.0001  
2.6239        0.0001  
2.6759        0.0001  
#----------------------------------------
# Probability of Window [ 0.39, 0.40 ]
# Value       Probability
0.1727        0.0000  
0.2240        0.0001  
0.2753        0.0001  
0.3266        0.0001  
0.3779        0.0003  
0.4293        0.0004  
0.4806        0.0007  
0.5319        0.0012  
0.5832        0.0021  
0.6345        0.0032  
0.6859        0.0046  
0.7372        0.0059  
0.7885        0.0090  
0.8398        0.0126  
0.8911        0.0175  
0.9425        0.0217  
0.9938        0.0278  
1.0451        0.0354  
1.0964        0.0427  
1.1477        0.0486  
1.1991        0.0583  
1.2504        0.0605  
1.3017        0.0655  
1.3530        0.0693  
1.4043        0.0708  
1.4557        0.0674  
1.5070        0.0642  
1.5583        0.0609  
1.6096        0.0532  
1.6609        0.0452  
1.7123        0.0370  
1.7636        0.0296  
1.8149        0.0235  
1.8662        0.0189  
1.9175        0.0139  
1.9689        0.0094  
2.0202        0.0065  
2.0715        0.0044  
2.1228        0.0027  
2.1741        0.0018  
2.2255        0.0013  
2.2768        0.0009  
2.3281        0.0004  
2.3794        0.0002  
2.4307        0.0001  
2.4821        0.0001  
2.5334        0.0000  
2.5847        0.0000  
2.6360        0.0000  
2.6873        0.0000  
#----------------------------------------
# Probability of Window [ 0.40, 0.41 ]
# Value       Probability
0.1187        0.0000  
0.1682        0.0000  
0.2177        0.0001  
0.2671        0.0001  
0.3166        0.0003  
0.3661        0.0006  
0.4155        0.0008  
0.4650        0.0015  
0.5145        0.0019  
0.5639        0.0031  
0.6134        0.0048  
0.6629        0.0063  
0.7124        0.0099  
0.7618        0.0140  
0.8113        0.0179  
0.8608        0.0231  
0.9102        0.0293  
0.9597        0.0358  
1.0092        0.0420  
1.0586        0.0505  
1.1081        0.0588  
1.1576        0.0620  
1.2070        0.0668  
1.2565        0.0655  
1.3060        0.0666  
1.3554        0.0670  
1.4049        0.0618  
1.4544        0.0563  
1.5038        0.0506  
1.5533        0.0443  
1.6028        0.0364  
1.6522        0.0294  
1.7017        0.0244  
1.7512        0.0186  
1.8006        0.0149  
1.8501        0.0108  
1.8996        0.0082  
1.9491        0.0051  
1.9985        0.0038  
2.0480        0.0024  
2.0975        0.0017  
2.1469        0.0008  
2.1964        0.0010  
2.2459        0.0004  
2.2953        0.0003  
2.3448        0.0001  
2.3943        0.0000  
2.4437        0.0001  
2.4932        0.0000  
2.5427        0.0000  
#----------------------------------------
# Probability of Window [ 0.41, 0.42 ]
# Value       Probability
-0.2447       0.0000  
-0.1835       0.0000  
-0.1222       0.0000  
-0.0610       0.0000  
0.0002        0.0000  
0.0615        0.0001  
0.1227        0.0001  
0.1839        0.0002  
0.2452        0.0003  
0.3064        0.0007  
0.3676        0.0010  
0.4289        0.0022  
0.4901        0.0032  
0.5513        0.0054  
0.6126        0.0080  
0.6738        0.0142  
0.7350        0.0195  
0.7963        0.0269  
0.8575        0.0361  
0.9187        0.0452  
0.9800        0.0571  
1.0412        0.0669  
1.1024        0.0752  
1.1637        0.0787  
1.2249        0.0833  
1.2861        0.0825  
1.3473        0.0810  
1.4086        0.0726  
1.4698        0.0591  
1.5310        0.0483  
1.5923        0.0403  
1.6535        0.0299  
1.7147        0.0216  
1.7760        0.0153  
1.8372        0.0101  
1.8984        0.0056  
1.9597        0.0039  
2.0209        0.0025  
2.0821        0.0014  
2.1434        0.0007  
2.2046        0.0004  
2.2658        0.0002  
2.3271        0.0001  
2.3883        0.0001  
2.4495        0.0000  
2.5108        0.0000  
2.5720        0.0000  
2.6332        0.0000  
2.6945        0.0000  
2.7557        0.0000  
#----------------------------------------
# Probability of Window [ 0.42, 0.43 ]
# Value       Probability
-0.2097       0.0000  
-0.1585       0.0000  
-0.1073       0.0000  
-0.0561       0.0000  
-0.0049       0.0000  
0.0463        0.0001  
0.0975        0.0002  
0.1487        0.0002  
0.1999        0.0006  
0.2511        0.0008  
0.3023        0.0012  
0.3535        0.0021  
0.4047        0.0033  
0.4559        0.0048  
0.5071        0.0068  
0.5583        0.0104  
0.6095        0.0142  
0.6607        0.0184  
0.7119        0.0249  
0.7631        0.0321  
0.8143        0.0388  
0.8655        0.0437  
0.9167        0.0534  
0.9679        0.0580  
1.0191        0.0665  
1.0703        0.0685  
1.1215        0.0702  
1.1727        0.0701  
1.2239        0.0666  
1.2751        0.0609  
1.3263        0.0559  
1.3775        0.0481  
1.4287        0.0426  
1.4799        0.0345  
1.5311        0.0272  
1.5823        0.0216  
1.6335        0.0164  
1.6847        0.0123  
1.7359        0.0083  
1.7871        0.0062  
1.8383        0.0035  
1.8895        0.0021  
1.9407        0.0017  
1.9919        0.0010  
2.0431        0.0008  
2.0943        0.0005  
2.1455        0.0002  
2.1967        0.0001  
2.2479        0.0000  
2.2991        0.0000  
#----------------------------------------
# Probability of Window [ 0.43, 0.44 ]
# Value       Probability
-0.2596       0.0000  
-0.2096       0.0000  
-0.1596       0.0000  
-0.1096       0.0001  
-0.0595       0.0001  
-0.0095       0.0002  
0.0405        0.0003  
0.0905        0.0003  
0.1405        0.0006  
0.1905        0.0009  
0.2405        0.0016  
0.2905        0.0022  
0.3406        0.0039  
0.3906        0.0053  
0.4406        0.0078  
0.4906        0.0108  
0.5406        0.0141  
0.5906        0.0199  
0.6406        0.0256  
0.6906        0.0308  
0.7406        0.0384  
0.7907        0.0438  
0.8407        0.0513  
0.8907        0.0573  
0.9407        0.0622  
0.9907        0.0670  
1.0407        0.0673  
1.0907        0.0672  
1.1407        0.0662  
1.1908        0.0640  
1.2408        0.0555  
1.2908        0.0497  
1.3408        0.0432  
1.3908        0.0340  
1.4408        0.0294  
1.4908        0.0226  
1.5408        0.0168  
1.5909        0.0132  
1.6409        0.0085  
1.6909        0.0063  
1.7409        0.0043  
1.7909        0.0027  
1.8409        0.0018  
1.8909        0.0012  
1.9409        0.0007  
1.9909        0.0004  
2.0410        0.0003  
2.0910        0.0002  
2.1410        0.0001  
2.1910        0.0001  
#----------------------------------------
# Probability of Window [ 0.44, 0.45 ]
# Value       Probability
-0.4063       0.0000  
-0.3556       0.0000  
-0.3048       0.0000  
-0.2541       0.0000  
-0.2033       0.0001  
-0.1526       0.0001  
-0.1019       0.0002  
-0.0511       0.0003  
-0.0004       0.0005  
0.0504        0.0006  
0.1011        0.0009  
0.1519        0.0014  
0.2026        0.0027  
0.2534        0.0037  
0.3041        0.0061  
0.3549        0.0085  
0.4056        0.0107  
0.4564        0.0155  
0.5071        0.0206  
0.5578        0.0266  
0.6086        0.0335  
0.6593        0.0418  
0.7101        0.0481  
0.7608        0.0555  
0.8116        0.0606  
0.8623        0.0683  
0.9131        0.0695  
0.9638        0.0690  
1.0146        0.0697  
1.0653        0.0664  
1.1161        0.0605  
1.1668        0.0535  
1.2175        0.0487  
1.2683        0.0390  
1.3190        0.0313  
1.3698        0.0238  
1.4205        0.0183  
1.4713        0.0144  
1.5220        0.0104  
1.5728        0.0063  
1.6235        0.0050  
1.6743        0.0030  
1.7250        0.0019  
1.7758        0.0011  
1.8265        0.0006  
1.8772        0.0005  
1.9280        0.0002  
1.9787        0.0001  
2.0295        0.0001  
2.0802        0.0001  
#----------------------------------------
# Probability of Window [ 0.45, 0.46 ]
# Value       Probability
-0.6374       0.0000  
-0.5784       0.0000  
-0.5194       0.0000  
-0.4605       0.0000  
-0.4015       0.0000  
-0.3425       0.0000  
-0.2835       0.0000  
-0.2245       0.0001  
-0.1656       0.0004  
-0.1066       0.0005  
-0.0476       0.0008  
0.0114        0.0013  
0.0704        0.0022  
0.1294        0.0030  
0.1883        0.0053  
0.2473        0.0075  
0.3063        0.0112  
0.3653        0.0166  
0.4243        0.0224  
0.4832        0.0306  
0.5422        0.0405  
0.6012        0.0491  
0.6602        0.0569  
0.7192        0.0687  
0.7782        0.0751  
0.8371        0.0799  
0.8961        0.0827  
0.9551        0.0777  
1.0141        0.0759  
1.0731        0.0677  
1.1321        0.0577  
1.1910        0.0477  
1.2500        0.0367  
1.3090        0.0269  
1.3680        0.0204  
1.4270        0.0135  
1.4859        0.0084  
1.5449        0.0048  
1.6039        0.0032  
1.6629        0.0019  
1.7219        0.0013  
1.7809        0.0007  
1.8398        0.0003  
1.8988        0.0002  
1.9578        0.0000  
2.0168        0.0000  
2.0758        0.0000  
2.1347        0.0000  
2.1937        0.0000  
2.2527        0.0000  
#----------------------------------------
# Probability of Window [ 0.46, 0.47 ]
# Value       Probability
-0.4798       0.0000  
-0.4266       0.0001  
-0.3733       0.0002  
-0.3201       0.0002  
-0.2669       0.0003  
-0.2137       0.0004  
-0.1605       0.0008  
-0.1072       0.0011  
-0.0540       0.0015  
-0.0008       0.0027  
0.0524        0.0045  
0.1057        0.0059  
0.1589        0.0082  
0.2121        0.0110  
0.2653        0.0157  
0.3185        0.0197  
0.3718        0.0262  
0.4250        0.0335  
0.4782        0.0404  
0.5314        0.0491  
0.5847        0.0567  
0.6379        0.0642  
0.6911        0.0689  
0.7443        0.0738  
0.7975        0.0727  
0.8508        0.0717  
0.9040        0.0684  
0.9572        0.0613  
1.0104        0.0553  
1.0636        0.0463  
1.1169        0.0388  
1.1701        0.0298  
1.2233        0.0223  
1.2765        0.0161  
1.3298        0.0113  
1.3830        0.0072  
1.4362        0.0048  
1.4894        0.0035  
1.5426        0.0020  
1.5959        0.0015  
1.6491        0.0008  
1.7023        0.0005  
1.7555        0.0003  
1.8088        0.0002  
1.8620        0.0001  
1.9152        0.0001  
1.9684        0.0000  
2.0216        0.0000  
2.0749        0.0000  
2.1281        0.0000  
#----------------------------------------
# Probability of Window [ 0.47, 0.48 ]
# Value       Probability
-1.0113       0.0000  
-0.9536       0.0000  
-0.8959       0.0000  
-0.8382       0.0000  
-0.7805       0.0000  
-0.7228       0.0000  
-0.6651       0.0000  
