# Probability of Window [ -0.00, 0.01 ]
# Value       Probability
1.7553        0.0483  
1.8159        0.0545  
1.8765        0.0604  
1.9371        0.0645  
1.9977        0.0661  
2.0582        0.0670  
2.1188        0.0664  
2.1794        0.0634  
2.2400        0.0573  
2.3006        0.0529  
2.3612        0.0458  
2.4218        0.0362  
2.4823        0.0300  
2.5429        0.0256  
2.6035        0.0184  
2.6641        0.0137  
2.7247        0.0104  
2.7853        0.0067  
2.8459        0.0046  
2.9064        0.0036  
2.9670        0.0017  
3.0276        0.0010  
3.0882        0.0009  
3.1488        0.0006  
3.2094        0.0001  
3.2700        0.0001  
3.3305        0.0001  
3.3911        0.0001  
3.4517        0.0000  
3.5123        0.0000  
#----------------------------------------
# Probability of Window [ 0.06, 0.07 ]
# Value       Probability
0.4132        0.0000  
0.4760        0.0001  
0.5388        0.0000  
0.6017        0.0001  
0.6645        0.0002  
0.7273        0.0002  
0.7901        0.0003  
0.8529        0.0006  
0.9158        0.0011  
0.9786        0.0016  
1.0414        0.0023  
1.1042        0.0034  
1.1670        0.0053  
1.2299        0.0082  
1.2927        0.0115  
1.3555        0.0148  
1.4183        0.0196  
1.4811        0.0252  
1.5440        0.0314  
1.6068        0.0401  
1.6696        0.0508  
1.7324        0.0556  
1.7953        0.0609  
1.8581        0.0691  
1.9209        0.0710  
1.9837        0.0749  
2.0465        0.0729  
2.1094        0.0697  
2.1722        0.0611  
2.2350        0.0572  
2.2978        0.0469  
2.3606        0.0407  
2.4235        0.0314  
2.4863        0.0227  
2.5491        0.0178  
2.6119        0.0119  
2.6747        0.0075  
2.7376        0.0048  
2.8004        0.0032  
2.8632        0.0015  
2.9260        0.0009  
2.9888        0.0005  
3.0516        0.0003  
3.1145        0.0001  
3.1773        0.0001  
3.2401        0.0000  
3.3029        0.0000  
3.3658        0.0000  
3.4286        0.0000  
3.4914        0.0000  
#----------------------------------------
# Probability of Window [ 0.07, 0.08 ]
# Value       Probability
0.2044        0.0000  
0.2679        0.0000  
0.3313        0.0000  
0.3948        0.0000  
0.4583        0.0000  
0.5217        0.0000  
0.5852        0.0000  
0.6486        0.0000  
0.7121        0.0001  
0.7755        0.0002  
0.8390        0.0005  
0.9024        0.0008  
0.9659        0.0010  
1.0294        0.0019  
1.0928        0.0027  
1.1563        0.0036  
1.2197        0.0061  
1.2832        0.0087  
1.3466        0.0125  
1.4101        0.0166  
1.4735        0.0222  
1.5370        0.0278  
1.6005        0.0351  
1.6639        0.0452  
1.7274        0.0503  
1.7908        0.0596  
1.8543        0.0659  
1.9177        0.0690  
1.9812        0.0765  
2.0447        0.0750  
2.1081        0.0740  
2.1716        0.0687  
2.2350        0.0602  
2.2985        0.0514  
2.3619        0.0442  
2.4254        0.0357  
2.4888        0.0281  
2.5523        0.0187  
2.6158        0.0138  
2.6792        0.0090  
2.7427        0.0070  
2.8061        0.0032  
2.8696        0.0021  
2.9330        0.0012  
2.9965        0.0006  
3.0599        0.0003  
3.1234        0.0001  
3.1869        0.0001  
3.2503        0.0000  
3.3138        0.0001  
#----------------------------------------
# Probability of Window [ 0.08, 0.09 ]
# Value       Probability
0.4342        0.0000  
0.4924        0.0000  
0.5505        0.0000  
0.6087        0.0000  
0.6669        0.0000  
0.7251        0.0002  
0.7833        0.0002  
0.8414        0.0004  
0.8996        0.0007  
0.9578        0.0007  
1.0160        0.0012  
1.0741        0.0018  
1.1323        0.0030  
1.1905        0.0044  
1.2487        0.0060  
1.3069        0.0089  
1.3650        0.0118  
1.4232        0.0137  
1.4814        0.0198  
1.5396        0.0242  
1.5977        0.0305  
1.6559        0.0379  
1.7141        0.0419  
1.7723        0.0514  
1.8305        0.0560  
1.8886        0.0618  
1.9468        0.0679  
2.0050        0.0692  
2.0632        0.0705  
2.1214        0.0669  
2.1795        0.0633  
2.2377        0.0582  
2.2959        0.0501  
2.3541        0.0435  
2.4122        0.0358  
2.4704        0.0295  
2.5286        0.0221  
2.5868        0.0151  
2.6450        0.0117  
2.7031        0.0072  
2.7613        0.0045  
2.8195        0.0036  
2.8777        0.0017  
2.9358        0.0010  
2.9940        0.0008  
3.0522        0.0004  
3.1104        0.0002  
3.1686        0.0001  
3.2267        0.0001  
3.2849        0.0001  
#----------------------------------------
# Probability of Window [ 0.09, 0.10 ]
# Value       Probability
0.4498        0.0001  
0.5057        0.0000  
0.5616        0.0000  
0.6175        0.0000  
0.6734        0.0001  
0.7293        0.0001  
0.7852        0.0003  
0.8411        0.0003  
0.8970        0.0003  
0.9529        0.0008  
1.0088        0.0010  
1.0647        0.0015  
1.1206        0.0023  
1.1765        0.0032  
1.2324        0.0048  
1.2883        0.0055  
1.3442        0.0081  
1.4000        0.0124  
1.4559        0.0149  
1.5118        0.0204  
1.5677        0.0251  
1.6236        0.0302  
1.6795        0.0371  
1.7354        0.0436  
1.7913        0.0496  
1.8472        0.0567  
1.9031        0.0601  
1.9590        0.0641  
2.0149        0.0665  
2.0708        0.0680  
2.1267        0.0652  
2.1826        0.0636  
2.2385        0.0581  
2.2943        0.0498  
2.3502        0.0448  
2.4061        0.0366  
2.4620        0.0284  
2.5179        0.0226  
2.5738        0.0170  
2.6297        0.0125  
2.6856        0.0090  
2.7415        0.0059  
2.7974        0.0037  
2.8533        0.0024  
2.9092        0.0016  
2.9651        0.0010  
3.0210        0.0003  
3.0769        0.0001  
3.1328        0.0001  
3.1887        0.0000  
#----------------------------------------
# Probability of Window [ 0.10, 0.11 ]
# Value       Probability
0.5834        0.0001  
0.6375        0.0000  
0.6916        0.0000  
0.7458        0.0002  
0.7999        0.0002  
0.8540        0.0003  
0.9082        0.0004  
0.9623        0.0009  
1.0165        0.0008  
1.0706        0.0017  
1.1247        0.0026  
1.1789        0.0038  
1.2330        0.0048  
1.2871        0.0064  
1.3413        0.0083  
1.3954        0.0112  
1.4495        0.0144  
1.5037        0.0197  
1.5578        0.0246  
1.6120        0.0294  
1.6661        0.0347  
1.7202        0.0420  
1.7744        0.0484  
1.8285        0.0535  
1.8826        0.0566  
1.9368        0.0623  
1.9909        0.0649  
2.0450        0.0665  
2.0992        0.0642  
2.1533        0.0622  
2.2074        0.0561  
2.2616        0.0519  
2.3157        0.0458  
2.3699        0.0383  
2.4240        0.0322  
2.4781        0.0263  
2.5323        0.0197  
2.5864        0.0146  
2.6405        0.0101  
2.6947        0.0069  
2.7488        0.0052  
2.8029        0.0032  
2.8571        0.0021  
2.9112        0.0011  
2.9654        0.0007  
3.0195        0.0003  
3.0736        0.0003  
3.1278        0.0001  
3.1819        0.0001  
3.2360        0.0000  
#----------------------------------------
# Probability of Window [ 0.11, 0.12 ]
# Value       Probability
0.3537        0.0000  
0.4134        0.0000  
0.4731        0.0000  
0.5328        0.0000  
0.5925        0.0000  
0.6522        0.0000  
0.7119        0.0001  
0.7716        0.0003  
0.8312        0.0003  
0.8909        0.0003  
0.9506        0.0006  
1.0103        0.0008  
1.0700        0.0010  
1.1297        0.0024  
1.1894        0.0028  
1.2491        0.0047  
1.3088        0.0065  
1.3684        0.0095  
1.4281        0.0131  
1.4878        0.0161  
1.5475        0.0213  
1.6072        0.0274  
1.6669        0.0341  
1.7266        0.0415  
1.7863        0.0495  
1.8459        0.0608  
1.9056        0.0619  
1.9653        0.0697  
2.0250        0.0719  
2.0847        0.0727  
2.1444        0.0714  
2.2041        0.0696  
2.2638        0.0613  
2.3234        0.0547  
2.3831        0.0462  
2.4428        0.0365  
2.5025        0.0277  
2.5622        0.0209  
2.6219        0.0155  
2.6816        0.0105  
2.7413        0.0065  
2.8010        0.0044  
2.8606        0.0025  
2.9203        0.0015  
2.9800        0.0008  
3.0397        0.0004  
3.0994        0.0002  
3.1591        0.0001  
3.2188        0.0001  
3.2785        0.0001  
#----------------------------------------
# Probability of Window [ 0.12, 0.13 ]
# Value       Probability
0.4219        0.0001  
0.4822        0.0000  
0.5425        0.0000  
0.6028        0.0000  
0.6630        0.0000  
0.7233        0.0001  
0.7836        0.0001  
0.8439        0.0003  
0.9041        0.0004  
0.9644        0.0005  
1.0247        0.0011  
1.0850        0.0014  
1.1452        0.0024  
1.2055        0.0035  
1.2658        0.0048  
1.3260        0.0077  
1.3863        0.0110  
1.4466        0.0155  
1.5069        0.0194  
1.5671        0.0249  
1.6274        0.0310  
1.6877        0.0404  
1.7480        0.0479  
1.8082        0.0531  
1.8685        0.0635  
1.9288        0.0694  
1.9891        0.0731  
2.0493        0.0751  
2.1096        0.0747  
2.1699        0.0691  
2.2302        0.0665  
2.2904        0.0574  
2.3507        0.0477  
2.4110        0.0402  
2.4713        0.0306  
2.5315        0.0224  
2.5918        0.0162  
2.6521        0.0109  
2.7123        0.0076  
2.7726        0.0043  
2.8329        0.0024  
2.8932        0.0015  
2.9534        0.0008  
3.0137        0.0005  
3.0740        0.0002  
3.1343        0.0001  
3.1945        0.0001  
3.2548        0.0000  
3.3151        0.0000  
3.3754        0.0000  
#----------------------------------------
# Probability of Window [ 0.13, 0.14 ]
# Value       Probability
0.5108        0.0000  
0.5697        0.0000  
0.6287        0.0000  
0.6876        0.0000  
0.7466        0.0001  
0.8055        0.0001  
0.8644        0.0003  
0.9234        0.0004  
0.9823        0.0009  
1.0413        0.0014  
1.1002        0.0018  
1.1592        0.0021  
1.2181        0.0042  
1.2771        0.0053  
1.3360        0.0080  
1.3950        0.0114  
1.4539        0.0145  
1.5129        0.0211  
1.5718        0.0264  
1.6307        0.0314  
1.6897        0.0390  
1.7486        0.0466  
1.8076        0.0567  
1.8665        0.0621  
1.9255        0.0675  
1.9844        0.0711  
2.0434        0.0733  
2.1023        0.0731  
2.1613        0.0686  
2.2202        0.0627  
2.2792        0.0574  
2.3381        0.0471  
2.3970        0.0397  
2.4560        0.0310  
2.5149        0.0239  
2.5739        0.0178  
2.6328        0.0119  
2.6918        0.0082  
2.7507        0.0058  
2.8097        0.0030  
2.8686        0.0019  
2.9276        0.0013  
2.9865        0.0006  
3.0455        0.0003  
3.1044        0.0000  
3.1633        0.0001  
3.2223        0.0000  
3.2812        0.0000  
3.3402        0.0000  
3.3991        0.0000  
#----------------------------------------
# Probability of Window [ 0.14, 0.15 ]
# Value       Probability
0.6099        0.0000  
0.6634        0.0000  
0.7169        0.0000  
0.7705        0.0001  
0.8240        0.0001  
0.8775        0.0002  
0.9311        0.0004  
0.9846        0.0004  
1.0381        0.0007  
1.0917        0.0011  
1.1452        0.0014  
1.1987        0.0023  
1.2523        0.0033  
1.3058        0.0044  
1.3593        0.0063  
1.4129        0.0094  
1.4664        0.0111  
1.5199        0.0144  
1.5735        0.0199  
1.6270        0.0251  
1.6805        0.0320  
1.7341        0.0349  
1.7876        0.0421  
1.8411        0.0500  
1.8947        0.0557  
1.9482        0.0613  
2.0018        0.0633  
2.0553        0.0694  
2.1088        0.0679  
2.1624        0.0652  
2.2159        0.0628  
2.2694        0.0583  
2.3230        0.0515  
2.3765        0.0434  
2.4300        0.0374  
2.4836        0.0290  
2.5371        0.0223  
2.5906        0.0169  
2.6442        0.0119  
2.6977        0.0084  
2.7512        0.0063  
2.8048        0.0039  
2.8583        0.0019  
2.9118        0.0014  
2.9654        0.0009  
3.0189        0.0005  
3.0724        0.0002  
3.1260        0.0002  
3.1795        0.0001  
3.2330        0.0001  
#----------------------------------------
# Probability of Window [ 0.15, 0.16 ]
# Value       Probability
0.4610        0.0000  
0.5170        0.0000  
0.5730        0.0000  
0.6290        0.0000  
0.6850        0.0000  
0.7410        0.0000  
0.7970        0.0000  
0.8530        0.0001  
0.9090        0.0003  
0.9650        0.0003  
1.0210        0.0004  
1.0770        0.0006  
1.1330        0.0014  
1.1890        0.0021  
1.2450        0.0030  
1.3010        0.0039  
